State,Jurisdiction,All,Yes,No,County,Facility
California,All,"440,034","255,245","184,789",All,All
California,Los Angeles County - Los Angeles County Jail,"51,856","33,411","18,445",Los Angeles County,Los Angeles County Jail
California,Orange County - Orange County Jail,"22,023","15,042","6,981",Orange County,Orange County Jail
California,Los Angeles County - Los Angeles City Jail,"16,113","4,402","11,711",Los Angeles County,Los Angeles City Jail
California,San Diego County - San Diego County Jail,"14,701","11,912","2,789",San Diego County,San Diego County Jail
California,San Bernardino County - West Valley,"14,649","12,470","2,179",San Bernardino County,West Valley
California,Kern County - California City Correctional Center,"13,494","7,379","6,115",Kern County,California City Correctional Center
California,Alameda County - Santa Rita Jail,"12,386","9,108","3,278",Alameda County,Santa Rita Jail
California,San Diego County - Vista Detention Facility,"12,141","10,605","1,536",San Diego County,Vista Detention Facility
California,Ventura County - Ventura County Jail,"11,477","7,347","4,130",Ventura County,Ventura County Jail
California,Riverside County - Riverside County Sheriff,"10,907","6,667","4,240",Riverside County,Riverside County Sheriff
California,Kern County - Kern County Jail,"10,631","6,545","4,086",Kern County,Kern County Jail
California,Imperial County - Calipatria State Prison,"9,622","2,650","6,972",Imperial County,Calipatria State Prison
California,Kern County - Taft Fed.Corr.Inst.,"8,689","5,697","2,992",Kern County,Taft Fed.Corr.Inst.
California,Sacramento County - Sacramento County Jail,"8,444","5,646","2,798",Sacramento County,Sacramento County Jail
California,San Mateo County - San Mateo Co Jail,"8,227","5,514","2,713",San Mateo County,San Mateo Co Jail
California,San Francisco County - San Francisco Co Jail,"7,952","4,636","3,316",San Francisco County,San Francisco Co Jail
California,Fresno County - Fresno County Jail,"7,951","4,400","3,551",Fresno County,Fresno County Jail
California,Monterey County - Monterey Co. Jail,"7,783","4,309","3,474",Monterey County,Monterey Co. Jail
California,Santa Barbara County - Santa Barbara County Jail,"7,667","4,893","2,774",Santa Barbara County,Santa Barbara County Jail
California,Los Angeles County - Los Custody Case Holding Faci,"6,818","6,367",451,Los Angeles County,Los Custody Case Holding Faci
California,Sonoma County - Sonoma Co Main Adult Det,"6,409","3,857","2,552",Sonoma County,Sonoma Co Main Adult Det
California,San Joaquin County - San Joaquin County Jail,"5,931","3,298","2,633",San Joaquin County,San Joaquin County Jail
California,Kern County - No. Kern State Prison,"5,629","2,034","3,595",Kern County,No. Kern State Prison
California,Tulare County - Tulare County Jail,"5,275","2,806","2,469",Tulare County,Tulare County Jail
California,Santa Clara County - Santa Clara County Main Jail,"5,099","1,804","3,295",Santa Clara County,Santa Clara County Main Jail
California,Kern County - Wasco State Prison,"5,087","1,621","3,466",Kern County,Wasco State Prison
California,Stanislaus County - Stanislaus County Jail,"5,016","2,995","2,021",Stanislaus County,Stanislaus County Jail
California,Imperial County - Centinela State Prison,"4,788","1,371","3,417",Imperial County,Centinela State Prison
California,Contra Costa County - Contra Costa County Jail,"4,569","2,396","2,173",Contra Costa County,Contra Costa County Jail
California,Santa Clara County - Santa Clara Co Jail/Men's,"4,457","2,610","1,847",Santa Clara County,Santa Clara Co Jail/Men's
California,Marin County - Marin Co. Jail,"4,426","2,935","1,491",Marin County,Marin Co. Jail
California,Santa Barbara County - Lompoc U.S. Prison,"3,762","2,945",817,Santa Barbara County,Lompoc U.S. Prison
California,Kern County - Cci-Tehachapi,"3,208","1,292","1,916",Kern County,Cci-Tehachapi
California,San Bernardino County - Fci Victorville,"3,108",828,"2,280",San Bernardino County,Fci Victorville
California,San Bernardino County - San Bernardino County Jail,"2,860",785,"2,075",San Bernardino County,San Bernardino County Jail
California,Marin County - Csp-San Quentin,"2,818",968,"1,850",Marin County,Csp-San Quentin
California,Napa County - Napa Countyy Dept Of Corr,"2,799","1,683","1,116",Napa County,Napa Countyy Dept Of Corr
California,Santa Clara County - Santa Clara County Jail,"2,771",490,"2,281",Santa Clara County,Santa Clara County Jail
California,Madera County - Madera Co Dept Of Correct,"2,589","1,602",987,Madera County,Madera Co Dept Of Correct
California,San Luis Obispo County - San Luis Obispo Co Jail,"2,551","1,764",787,San Luis Obispo County,San Luis Obispo Co Jail
California,Alameda County - Dublin Fed.Corr.Inst.,"2,480","1,155","1,325",Alameda County,Dublin Fed.Corr.Inst.
California,Merced County - Merced County Jail,"2,298","1,130","1,168",Merced County,Merced County Jail
California,Kern County - Ccf-Delano,"2,222",294,"1,928",Kern County,Ccf-Delano
